Date,time,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit
01/01/2022,01:00:00,5.44992,R,ugm-3,16.12053,R,ugm-3,24.47695,R,ugm-3
01/01/2022,02:00:00,4.15489,R,ugm-3,16.04587,R,ugm-3,22.4166,R,ugm-3
01/01/2022,03:00:00,3.6018,R,ugm-3,17.77987,R,ugm-3,23.30255,R,ugm-3
01/01/2022,04:00:00,2.75194,R,ugm-3,10.24408,R,ugm-3,14.46365,R,ugm-3
01/01/2022,05:00:00,1.57832,R,ugm-3,6.85152,R,ugm-3,9.27157,R,ugm-3
01/01/2022,06:00:00,0.9308,R,ugm-3,5.61919,R,ugm-3,7.0464,R,ugm-3
01/01/2022,07:00:00,0.97127,R,ugm-3,6.48429,R,ugm-3,7.97355,R,ugm-3
01/01/2022,08:00:00,1.37597,R,ugm-3,5.18385,R,ugm-3,7.29364,R,ugm-3
01/01/2022,09:00:00,1.05221,R,ugm-3,5.55665,R,ugm-3,7.17002,R,ugm-3
01/01/2022,10:00:00,1.21409,R,ugm-3,4.31947,R,ugm-3,6.18105,R,ugm-3
01/01/2022,11:00:00,1.01174,R,ugm-3,3.39352,R,ugm-3,4.94484,R,ugm-3
01/01/2022,12:00:00,1.49738,R,ugm-3,3.69967,R,ugm-3,5.99562,R,ugm-3
01/01/2022,13:00:00,1.53785,R,ugm-3,4.1321,R,ugm-3,6.4901,R,ugm-3
01/01/2022,14:00:00,1.25456,R,ugm-3,3.94836,R,ugm-3,5.872,R,ugm-3
01/01/2022,15:00:00,1.57832,R,ugm-3,5.61531,R,ugm-3,8.03536,R,ugm-3
01/01/2022,16:00:00,1.65926,R,ugm-3,7.03647,R,ugm-3,9.58063,R,ugm-3
01/01/2022,17:00:00,1.61879,R,ugm-3,6.23317,R,ugm-3,8.71528,R,ugm-3
01/01/2022,18:00:00,1.61879,R,ugm-3,5.92412,R,ugm-3,8.40623,R,ugm-3
01/01/2022,19:00:00,1.65926,R,ugm-3,5.36758,R,ugm-3,7.91174,R,ugm-3
01/01/2022,20:00:00,2.10442,R,ugm-3,6.10665,R,ugm-3,9.33338,R,ugm-3
01/01/2022,21:00:00,2.30677,R,ugm-3,6.4763,R,ugm-3,10.0133,R,ugm-3
01/01/2022,22:00:00,2.50912,R,ugm-3,5.30069,R,ugm-3,9.14795,R,ugm-3
01/01/2022,23:00:00,2.38771,R,ugm-3,7.83564,R,ugm-3,11.49675,R,ugm-3
01/01/2022,00:00:00,2.50912,R,ugm-3,6.59871,R,ugm-3,10.44597,R,ugm-3
02/01/2022,01:00:00,1.9446,R,ugm-3,5.10126,R,ugm-3,8.08294,R,ugm-3
02/01/2022,02:00:00,1.51247,R,ugm-3,4.27923,R,ugm-3,6.59831,R,ugm-3
02/01/2022,03:00:00,1.01281,R,ugm-3,2.71533,R,ugm-3,4.26828,R,ugm-3
02/01/2022,04:00:00,0.9723,R,ugm-3,2.90116,R,ugm-3,4.392,R,ugm-3
02/01/2022,05:00:00,0.72923,R,ugm-3,1.85111,R,ugm-3,2.96924,R,ugm-3
02/01/2022,06:00:00,1.25589,R,ugm-3,3.45608,R,ugm-3,5.38175,R,ugm-3
02/01/2022,07:00:00,1.25589,R,ugm-3,6.05417,R,ugm-3,7.97984,R,ugm-3
02/01/2022,08:00:00,3.03844,R,ugm-3,12.47612,R,ugm-3,17.13499,R,ugm-3
02/01/2022,09:00:00,3.80817,R,ugm-3,16.61577,R,ugm-3,22.45488,R,ugm-3
02/01/2022,10:00:00,11.10042,R,ugm-3,25.97172,R,ugm-3,42.99213,R,ugm-3
02/01/2022,11:00:00,6.40097,R,ugm-3,9.2998,R,ugm-3,19.11449,R,ugm-3
02/01/2022,12:00:00,5.5097,R,ugm-3,9.55294,R,ugm-3,18.00102,R,ugm-3
02/01/2022,13:00:00,5.8338,R,ugm-3,12.14895,R,ugm-3,21.09398,R,ugm-3
02/01/2022,14:00:00,4.61842,R,ugm-3,10.17723,R,ugm-3,17.25871,R,ugm-3
02/01/2022,15:00:00,5.30714,R,ugm-3,11.34815,R,ugm-3,19.48564,R,ugm-3
02/01/2022,16:00:00,4.94253,R,ugm-3,11.1649,R,ugm-3,18.74333,R,ugm-3
02/01/2022,17:00:00,5.5097,R,ugm-3,12.70775,R,ugm-3,21.15584,R,ugm-3
02/01/2022,18:00:00,5.02355,R,ugm-3,11.22624,R,ugm-3,18.92891,R,ugm-3
02/01/2022,19:00:00,5.14509,R,ugm-3,15.1226,R,ugm-3,23.01162,R,ugm-3
02/01/2022,20:00:00,3.8892,R,ugm-3,11.17164,R,ugm-3,17.13499,R,ugm-3
02/01/2022,21:00:00,3.15998,R,ugm-3,8.39264,R,ugm-3,13.23787,R,ugm-3
02/01/2022,22:00:00,5.91482,R,ugm-3,12.89074,R,ugm-3,21.96001,R,ugm-3
02/01/2022,23:00:00,3.20049,R,ugm-3,6.5366,R,ugm-3,11.44395,R,ugm-3
02/01/2022,00:00:00,2.06614,R,ugm-3,5.05924,R,ugm-3,8.22727,R,ugm-3
03/01/2022,01:00:00,1.35184,R,ugm-3,3.04492,R,ugm-3,5.11772,R,ugm-3
03/01/2022,02:00:00,1.73036,R,ugm-3,3.28998,R,ugm-3,5.94316,R,ugm-3
03/01/2022,03:00:00,1.25722,R,ugm-3,2.65348,R,ugm-3,4.58118,R,ugm-3
03/01/2022,04:00:00,0.97333,R,ugm-3,2.16015,R,ugm-3,3.65257,R,ugm-3
03/01/2022,05:00:00,0.64889,R,ugm-3,1.97664,R,ugm-3,2.97158,R,ugm-3
03/01/2022,06:00:00,8.31384,R,ugm-3,10.71538,R,ugm-3,23.46309,R,ugm-3
03/01/2022,07:00:00,44.57028,R,ugm-3,36.84134,R,ugm-3,105.18149,R,ugm-3
03/01/2022,08:00:00,31.02481,R,ugm-3,31.48565,R,ugm-3,79.05636,R,ugm-3
03/01/2022,09:00:00,25.83373,R,ugm-3,19.88231,R,ugm-3,59.49347,R,ugm-3
03/01/2022,10:00:00,31.59258,R,ugm-3,28.4483,R,ugm-3,76.88959,R,ugm-3
03/01/2022,11:00:00,47.69304,R,ugm-3,44.55857,R,ugm-3,117.68688,R,ugm-3
03/01/2022,12:00:00,41.04197,R,ugm-3,36.61773,R,ugm-3,99.54787,R,ugm-3
03/01/2022,13:00:00,26.44206,R,ugm-3,29.96915,R,ugm-3,70.51308,R,ugm-3
03/01/2022,14:00:00,21.04821,R,ugm-3,35.8252,R,ugm-3,68.09867,R,ugm-3
03/01/2022,15:00:00,30.53815,R,ugm-3,33.59383,R,ugm-3,80.41834,R,ugm-3
03/01/2022,16:00:00,26.19873,R,ugm-3,38.94745,R,ugm-3,79.11827,R,ugm-3
03/01/2022,17:00:00,45.05695,R,ugm-3,49.34342,R,ugm-3,118.42978,R,ugm-3
03/01/2022,18:00:00,63.59072,R,ugm-3,48.66009,R,ugm-3,146.16451,R,ugm-3
03/01/2022,19:00:00,48.99081,R,ugm-3,43.18776,R,ugm-3,118.30596,R,ugm-3
03/01/2022,20:00:00,46.39527,R,ugm-3,51.563,R,ugm-3,122.70142,R,ugm-3
03/01/2022,21:00:00,22.83264,R,ugm-3,24.48392,R,ugm-3,59.49347,R,ugm-3
