Date,Sum of Nitrogen oxides as nitrogen dioxide,Sum of Nitric oxide,Sum of Nitrogen dioxide
01-Jan,245.98513,48.3343,171.87361
02-Jan,371.05199,93.15175,228.22137
03-Jan,1654.03414,640.97664,671.21699
04-Jan,1280.41524,517.50426,486.91983
05-Jan,1843.18939,731.84837,721.03754
06-Jan,832.84695,269.62476,419.42817
07-Jan,2817.10095,1145.06784,1061.35474
08-Jan,2451.4774,1022.10165,884.27675
09-Jan,3298.92491,1516.94794,972.97051
10-Jan,1082.7962,364.0997,524.51779
11-Jan,2076.6645,787.86896,868.61563
12-Jan,2601.76669,1067.33555,965.20831
13-Jan,3371.69761,1524.77161,1033.74711
14-Jan,2859.47393,1213.32422,999.06945
15-Jan,2647.11516,1157.21149,872.74896
16-Jan,1033.40857,344.71758,504.84905
17-Jan,4617.69112,2218.47517,1216.07665
18-Jan,2020.71838,837.31823,736.84835
19-Jan,1266.65581,464.41483,554.56304
20-Jan,2513.1997,1004.91541,972.35094
21-Jan,7462.48657,3785.34122,1658.37765
22-Jan,2356.17505,943.41543,909.62489
23-Jan,749.85023,213.97881,421.75405
24-Jan,2840.69057,1209.11442,986.74101
25-Jan,2381.26624,972.72417,889.77671
26-Jan,2460.65156,1068.56739,822.20448
27-Jan,1947.93561,722.92603,839.4645
28-Jan,1465.63595,498.15103,701.81501
29-Jan,893.39767,331.61845,384.92316
30-Jan,828.45522,245.44184,452.11634
31-Jan,1838.19896,715.90181,740.49817
01-Feb,1171.64704,422.18339,524.3082
02-Feb,2315.13605,891.34442,948.427
03-Feb,945.69078,296.46988,491.10998
04-Feb,2447.75927,960.17797,975.50694
05-Feb,1794.66227,652.05856,794.8531
06-Feb,1050.32447,339.09956,530.37909
07-Feb,1496.5876,531.00627,682.38938
08-Feb,2049.85379,761.05156,882.92436
09-Feb,1485.44758,538.91112,659.12875
10-Feb,1236.61861,435.42073,568.98284
11-Feb,1362.4631,481.87564,623.59745
12-Feb,590.07902,173.04009,324.75458
13-Feb,1057.24172,334.26034,544.71641
14-Feb,2019.95446,749.36611,870.94248
15-Feb,1922.2428,688.27195,866.90722
16-Feb,1969.9096,741.44994,833.03558
17-Feb,1939.42561,701.70345,863.49532
18-Feb,1628.65239,518.91821,832.98888
19-Feb,2080.01589,754.13573,923.69057
20-Feb,1127.28276,373.34002,554.83607
21-Feb,1724.40139,616.79811,778.65747
22-Feb,1843.22417,656.96823,835.887
23-Feb,972.90291,333.86237,460.98776
