Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
01/01/2012,246,384,764
02/01/2012,452,613,1307
03/01/2012,492,711,1465
04/01/2012,827,923,2197
05/01/2012,1311,1286,3300
06/01/2012,2265,1446,4914
07/01/2012,844,842,2136
08/01/2012,889,958,2322
09/01/2012,1201,1072,2915
10/01/2012,1162,1098,2876
11/01/2012,1285,1114,3088
12/01/2012,1434,1279,3481
13/01/2012,8732,3007,16393
14/01/2012,5899,2573,11617
15/01/2012,4287,1998,8574
16/01/2012,6530,2340,12355
17/01/2012,4642,2100,9213
18/01/2012,343,332,860
20/01/2012,1754,1115,3807
21/01/2012,734,937,2068
22/01/2012,666,931,1950
23/01/2012,1336,1498,3549
24/01/2012,6778,2771,13165
25/01/2012,1514,1406,3725
26/01/2012,4327,2548,9189
27/01/2012,4312,2523,9139
28/01/2012,7527,2752,14296
29/01/2012,3711,1723,7409
30/01/2012,4883,2164,9653
31/01/2012,4593,2250,9298
01/02/2012,6204,2725,12238
02/02/2012,5774,2599,11455
03/02/2012,4324,2160,8789
04/02/2012,3253,1848,6834
05/02/2012,1773,1752,4473
06/02/2012,7793,2680,14628
07/02/2012,7122,2526,13446
08/02/2012,5334,2217,10398
09/02/2012,8637,2905,16146
10/02/2012,5762,2250,11090
11/02/2012,6033,2326,11583
12/02/2012,1361,1132,3220
13/02/2012,2012,1655,4737
14/02/2012,1459,1379,3622
15/02/2012,1184,1141,2957
16/02/2012,1396,1316,3460
17/02/2012,1234,1184,3076
18/02/2012,714,878,1975
19/02/2012,744,1058,2206
20/02/2012,778,955,2148
21/02/2012,968,941,2423
22/02/2012,733,694,1820
23/02/2012,968,813,2303
24/02/2012,736,1005,2133
25/02/2012,1077,1313,2961
26/02/2012,1173,1064,2868
27/02/2012,823,942,2208
28/02/2012,2242,1587,5026
29/02/2012,1733,1316,3970
01/03/2012,2936,1796,6305
02/03/2012,5659,2590,11268
03/03/2012,2401,1912,5596
04/03/2012,1163,1354,3133
05/03/2012,2232,2009,5429
06/03/2012,2646,1858,5914
07/03/2012,876,1126,2466
08/03/2012,1168,1171,2967
09/03/2012,886,975,2331
10/03/2012,665,905,1924
11/03/2012,428,674,1330
12/03/2012,927,1164,2584
13/03/2012,1722,1456,4100
14/03/2012,1826,1431,4232
15/03/2012,2340,1533,5118
16/03/2012,2338,1932,5516
17/03/2012,1546,1614,3987
18/03/2012,1587,1413,3847
19/03/2012,844,1009,2306
20/03/2012,942,1026,2475
21/03/2012,1314,1299,3311
22/03/2012,3864,2428,8354
23/03/2012,4918,2613,10150
24/03/2012,5612,2630,11234
25/03/2012,2842,2099,6449
26/03/2012,4148,2527,8886
27/03/2012,3217,2250,7176
28/03/2012,1987,1709,4753
29/03/2012,615,1112,2057
30/03/2012,482,1019,1761
31/03/2012,3806,2304,8132
01/04/2012,707,1093,2184
02/04/2012,1895,1687,4593
03/04/2012,3525,2306,7710
04/04/2012,4013,2413,8566
05/04/2012,2242,1835,5272
06/04/2012,1072,1338,2982
07/04/2012,1501,1483,3781
08/04/2012,430,768,1426
09/04/2012,976,1165,2665
10/04/2012,692,1172,2235
11/04/2012,2234,1856,5277
12/04/2012,4069,2482,8721
13/04/2012,4406,2648,9399
14/04/2012,3831,2437,8316
15/04/2012,1421,1480,3660
16/04/2012,2430,1570,5296
17/04/2012,1837,1653,4468
18/04/2012,4213,2590,9052
19/04/2012,4926,2703,10257
20/04/2012,5082,2746,10534
21/04/2012,2592,1981,5958
22/04/2012,2411,2297,5994
23/04/2012,3963,2576,8654
24/04/2012,2726,2227,6410
25/04/2012,3635,2586,8155
26/04/2012,4803,2669,10033
27/04/2012,3544,2185,7620
28/04/2012,3677,2276,7916
29/04/2012,1958,1762,4765
30/04/2012,2823,2029,6354
01/05/2012,2856,1986,6361
02/05/2012,3270,2129,7142
03/05/2012,3402,2479,7701
04/05/2012,4572,2669,9684
05/05/2012,1802,1860,4619
06/05/2012,2057,1700,4855
07/05/2012,2513,1999,5849
08/05/2012,1570,1559,3970
09/05/2012,2587,1959,5926
10/05/2012,3773,2695,8482
11/05/2012,2093,1890,5099
12/05/2012,857,1129,2448
13/05/2012,393,458,1064
14/05/2012,660,925,1937
15/05/2012,1845,1466,4295
16/05/2012,1123,1195,2915
17/05/2012,2818,1933,6254
18/05/2012,4157,2584,8953
19/05/2012,4049,2577,8788
20/05/2012,2367,1971,5595
21/05/2012,3856,2666,8584
22/05/2012,3268,2452,7464
23/05/2012,2735,2139,6333
24/05/2012,3357,2409,7555
25/05/2012,3594,2414,7926
26/05/2012,2711,2593,6746
27/05/2012,2216,2168,5566
28/05/2012,3034,2227,6878
29/05/2012,2578,1672,5631
30/05/2012,4995,2332,9994
31/05/2012,1962,1640,4650
01/06/2012,3413,2265,7501
02/06/2012,3056,2068,6756
03/06/2012,2588,1725,5694
04/06/2012,921,1028,2439
05/06/2012,2322,1698,5259
06/06/2012,4146,2125,8481
07/06/2012,4223,2476,8948
08/06/2012,5297,2746,10871
