Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
01/01/2012,33,732,789
02/01/2012,85,771,904
03/01/2012,97,679,835
04/01/2012,161,865,1116
05/01/2012,1306,1233,3234
06/01/2012,601,1237,2163
07/01/2012,630,1256,2230
08/01/2012,539,1294,2122
09/01/2012,357,1280,1833
10/01/2012,240,1070,1446
11/01/2012,338,1109,1633
12/01/2012,1134,1340,3082
13/01/2012,1689,1636,4224
14/01/2012,2220,1881,5288
15/01/2012,1396,1509,3652
16/01/2012,2493,1904,5728
17/01/2012,2532,1954,5835
18/01/2012,439,1178,1853
19/01/2012,532,1306,2129
20/01/2012,484,1480,2219
21/01/2012,452,1160,1854
22/01/2012,836,1270,2557
23/01/2012,753,1860,3021
24/01/2012,1171,1667,3464
25/01/2012,284,1009,1447
26/01/2012,277,1047,1471
27/01/2012,497,1215,1977
28/01/2012,1274,1331,3284
29/01/2012,825,1140,2406
30/01/2012,1319,1443,3462
31/01/2012,1240,1425,3330
01/02/2012,747,1316,2459
02/02/2012,850,1387,2690
03/02/2012,1821,1783,4581
04/02/2012,912,1538,2941
05/02/2012,853,1425,2735
06/02/2012,2015,1851,4939
07/02/2012,1197,1317,3155
08/02/2012,932,1498,2932
09/02/2012,1278,1619,3574
10/02/2012,1314,1648,3663
11/02/2012,1568,1982,4385
12/02/2012,2304,2072,5602
13/02/2012,1802,1872,4637
14/02/2012,1685,1780,4363
15/02/2012,1661,1791,4337
16/02/2012,940,1864,3303
17/02/2012,445,1500,2186
18/02/2012,343,1046,1576
19/02/2012,1241,1740,3639
20/02/2012,494,1529,2294
21/02/2012,146,1020,1250
22/02/2012,110,919,1090
23/02/2012,530,1287,2100
24/02/2012,474,1274,2004
25/02/2012,1042,1608,3206
26/02/2012,543,1527,2364
27/02/2012,42,314,382
28/02/2012,161,492,740
29/02/2012,223,1026,1373
01/03/2012,1409,1880,4039
02/03/2012,1267,1618,3560
03/03/2012,283,1170,1608
04/03/2012,711,1339,2435
05/03/2012,770,1273,2454
06/03/2012,845,1561,2853
07/03/2012,825,1437,2706
