Date,Sum of Nitric oxide,Sum of Nitrogen dioxide,Sum of Nitrogen oxides as nitrogen dioxide
01/01/2012,88,292,435
02/01/2012,318,524,1018
03/01/2012,461,557,1260
04/01/2012,933,951,2384
05/01/2012,591,747,1659
06/01/2012,1135,1046,2783
07/01/2012,833,998,2275
08/01/2012,759,999,2167
09/01/2012,1641,1229,3742
10/01/2012,814,875,2126
11/01/2012,1664,1186,3740
12/01/2012,818,921,2183
13/01/2012,2437,1602,5342
14/01/2012,2026,1427,4537
15/01/2012,510,869,1661
16/01/2012,815,985,2239
17/01/2012,757,982,2139
18/01/2012,1966,1536,4553
19/01/2012,2580,1918,5878
20/01/2012,2116,1714,4964
21/01/2012,1107,1171,2870
22/01/2012,958,1192,2659
23/01/2012,2550,2066,5975
24/01/2012,1331,1301,3343
25/01/2012,279,522,959
26/01/2012,2018,1794,4884
27/01/2012,4045,2187,8390
28/01/2012,3677,2184,7823
29/01/2012,1033,978,2561
30/01/2012,565,895,1761
31/01/2012,336,718,1237
01/02/2012,413,807,1440
02/02/2012,2305,1898,5435
03/02/2012,2318,1897,5449
04/02/2012,932,977,2405
05/02/2012,1696,1780,4383
06/02/2012,2918,2015,6493
07/02/2012,1653,1245,3783
08/02/2012,432,756,1419
09/02/2012,3357,1673,6825
10/02/2012,431,872,1538
11/02/2012,2376,1767,5411
12/02/2012,1081,1463,3127
13/02/2012,1142,1188,2941
14/02/2012,783,1022,2226
15/02/2012,873,1081,2422
16/02/2012,2302,2107,5639
17/02/2012,1113,1297,3010
18/02/2012,1021,1230,2794
19/02/2012,865,1270,2601
20/02/2012,1306,1126,3128
21/02/2012,1157,1298,3068
22/02/2012,1186,1186,3011
23/02/2012,1469,1495,3747
24/02/2012,1725,1854,4500
25/02/2012,1735,1811,4467
26/02/2012,700,1069,2149
27/02/2012,1717,1359,3995
28/02/2012,3403,2251,7470
29/02/2012,2545,1756,5656
01/03/2012,1357,1430,3512
02/03/2012,403,844,1466
03/03/2012,630,881,1853
04/03/2012,1306,1515,3519
05/03/2012,2318,1901,5453
06/03/2012,492,741,1495
07/03/2012,2074,1759,4941
08/03/2012,818,1087,2343
09/03/2012,1648,1477,4003
10/03/2012,1624,1858,4348
11/03/2012,1608,1537,4000
12/03/2012,1437,1340,3547
13/03/2012,1824,1575,4376
14/03/2012,788,1082,2293
15/03/2012,1121,1114,2829
16/03/2012,803,1117,2349
17/03/2012,1492,1639,3926
18/03/2012,1052,1361,2978
19/03/2012,738,1055,2192
20/03/2012,1567,1425,3836
21/03/2012,981,1228,2735
22/03/2012,941,1133,2583
23/03/2012,483,1087,1831
24/03/2012,481,921,1661
25/03/2012,733,1128,2256
26/03/2012,2083,2029,5226
27/03/2012,2149,2051,5350
28/03/2012,1303,1809,3810
29/03/2012,803,1191,2421
30/03/2012,989,1358,2881
31/03/2012,941,1479,2923
01/04/2012,426,936,1592
02/04/2012,1197,1842,3679
03/04/2012,523,864,1672
04/04/2012,1063,1512,3140
05/04/2012,1403,1904,4052
06/04/2012,1260,1713,3650
07/04/2012,821,1335,2598
08/04/2012,427,883,1543
09/04/2012,345,760,1297
10/04/2012,1414,1941,4107
11/04/2012,1118,1652,3362
12/04/2012,951,1387,2846
13/04/2012,665,1197,2219
14/04/2012,762,1232,2402
15/04/2012,415,911,1549
16/04/2012,604,931,1861
17/04/2012,639,1084,2064
18/04/2012,1417,1926,4100
19/04/2012,1270,1934,3885
20/04/2012,1491,2142,4427
21/04/2012,901,1733,3117
22/04/2012,455,1043,1740
23/04/2012,883,1417,2771
24/04/2012,1025,1906,3480
25/04/2012,634,1359,2336
26/04/2012,510,978,1760
27/04/2012,1166,1665,3453
28/04/2012,998,1590,3115
29/04/2012,436,890,1557
30/04/2012,756,1239,2397
01/05/2012,1109,1498,3201
02/05/2012,1101,1623,3312
03/05/2012,1138,1751,3504
04/05/2012,748,1088,2237
05/05/2012,867,1383,2711
06/05/2012,420,826,1470
07/05/2012,436,771,1442
08/05/2012,1438,1833,4037
09/05/2012,1576,1942,4357
10/05/2012,900,1261,2637
11/05/2012,1324,1515,3542
12/05/2012,1194,1428,3262
13/05/2012,174,419,697
14/05/2012,1296,1228,3213
17/05/2012,515,639,1431
18/05/2012,1685,1500,4086
19/05/2012,862,1080,2403
20/05/2012,358,605,1157
21/05/2012,500,838,1614
22/05/2012,1789,1921,4670
23/05/2012,1047,1344,2954
24/05/2012,1788,1881,4624
25/05/2012,1176,1380,3181
26/05/2012,1208,1717,3570
27/05/2012,336,872,1387
28/05/2012,850,1209,2516
29/05/2012,953,1305,2768
30/05/2012,612,1063,2000
31/05/2012,1695,1765,4363
01/06/2012,1218,1378,3245
02/06/2012,1105,1288,2983
03/06/2012,703,880,1968
04/06/2012,1153,1168,2937
05/06/2012,710,970,2058
06/06/2012,994,1669,3194
07/06/2012,1065,1559,3192
08/06/2012,1046,1373,2978
09/06/2012,880,1109,2462
10/06/2012,629,1034,2000
11/06/2012,1309,1401,3404
12/06/2012,1199,1207,3047
13/06/2012,1333,1211,3253
14/06/2012,943,1233,2678
15/06/2012,1224,1605,3485
16/06/2012,726,1172,2295
17/06/2012,735,1105,2230
18/06/2012,1480,1254,3523
19/06/2012,787,997,2204
20/06/2012,844,1121,2420
21/06/2012,1151,1899,3664
22/06/2012,1030,1520,3099
23/06/2012,1363,1542,3631
24/06/2012,520,817,1613
25/06/2012,1224,1259,3134
26/06/2012,560,800,1658
27/06/2012,1116,1448,3162
28/06/2012,1605,1365,3825
29/06/2012,372,570,1143
30/06/2012,331,579,1091
01/07/2012,732,1065,2186
02/07/2012,1660,1403,3948
03/07/2012,1135,1371,3112
04/07/2012,820,1269,2527
05/07/2012,1700,1960,4568
06/07/2012,625,1126,2089
07/07/2012,739,945,2080
08/07/2012,545,947,1788
09/07/2012,831,852,2127
10/07/2012,1703,1307,3921
11/07/2012,1513,1211,3531
12/07/2012,1405,1190,3342
13/07/2012,1776,1350,4074
14/07/2012,1080,1001,2658
15/07/2012,714,879,1975
16/07/2012,1488,1250,3531
17/07/2012,1307,1247,3254
18/07/2012,1385,1331,3456
19/07/2012,1340,1098,3151
20/07/2012,914,608,2010
21/07/2012,193,279,577
22/07/2012,166,305,566
23/07/2012,1108,966,2671
24/07/2012,1125,1033,2760
25/07/2012,1435,1164,3368
26/07/2012,310,569,1048
27/07/2012,1139,1057,2809
28/07/2012,1161,1029,2811
29/07/2012,720,812,1918
30/07/2012,1329,1052,3091
31/07/2012,813,720,1972
01/08/2012,343,684,1216
02/08/2012,2050,1422,4566
03/08/2012,738,740,1878
04/08/2012,1356,1434,3511
05/08/2012,589,930,1837
06/08/2012,1514,1243,3568
07/08/2012,1444,1229,3449
08/08/2012,1424,1283,3469
09/08/2012,1827,1418,4219
10/08/2012,883,860,2214
11/08/2012,305,565,1039
12/08/2012,139,417,634
13/08/2012,290,712,1162
14/08/2012,389,775,1376
15/08/2012,1291,1599,3583
16/08/2012,408,646,1275
17/08/2012,456,674,1379
21/08/2012,233,343,703
22/08/2012,1717,1416,4045
23/08/2012,1553,1276,3659
24/08/2012,715,967,2061
25/08/2012,1366,1387,3476
26/08/2012,633,916,1886
27/08/2012,233,451,815
28/08/2012,534,667,1485
29/08/2012,721,906,2009
30/08/2012,1573,1298,3711
31/08/2012,1005,877,2414
01/09/2012,1044,950,2549
02/09/2012,731,858,1981
03/09/2012,856,566,1877
04/09/2012,738,678,1811
05/09/2012,1408,1355,3522
06/09/2012,1126,987,2713
07/09/2012,1929,1586,4541
08/09/2012,1335,1149,3200
09/09/2012,230,451,812
10/09/2012,1522,1304,3641
11/09/2012,1495,1253,3547
12/09/2012,1623,1335,3823
13/09/2012,795,862,2083
14/09/2012,1638,1258,3770
15/09/2012,839,976,2261
16/09/2012,510,723,1506
17/09/2012,1140,1058,2806
18/09/2012,1611,1254,3728
19/09/2012,2282,1571,5066
20/09/2012,2301,1570,5102
21/09/2012,2167,1570,4898
22/09/2012,1328,1107,3142
23/09/2012,588,665,1570
24/09/2012,696,1066,2135
25/09/2012,808,903,2143
26/09/2012,1633,1271,3774
27/09/2012,1798,1249,4007
28/09/2012,1522,1233,3562
29/09/2012,1307,1192,3198
30/09/2012,322,488,985
01/10/2012,739,865,2006
02/10/2012,944,924,2373
03/10/2012,2451,1732,5490
04/10/2012,1952,1441,4433
05/10/2012,2972,1855,6412
06/10/2012,1343,1251,3311
07/10/2012,1111,1180,2884
08/10/2012,1922,1411,4356
09/10/2012,2563,1777,5710
10/10/2012,1423,1275,3455
11/10/2012,510,767,1549
12/10/2012,1055,1291,2910
13/10/2012,1524,1460,3793
14/10/2012,1179,1312,3122
15/10/2012,2515,1498,5350
16/10/2012,2656,1506,5581
17/10/2012,2748,1410,5630
18/10/2012,2977,1874,6433
19/10/2012,2648,1730,5789
20/10/2012,1980,1349,4384
21/10/2012,1096,948,2632
22/10/2012,2402,1429,5111
23/10/2012,3039,1503,6163
24/10/2012,2151,1476,4781
25/10/2012,1756,1331,4027
26/10/2012,1585,1393,3824
27/10/2012,1534,1267,3622
28/10/2012,1228,1233,3123
29/10/2012,2650,1777,5842
30/10/2012,1566,1299,3700
31/10/2012,1988,1637,4682
01/11/2012,3068,1794,6501
02/11/2012,2470,1527,5317
03/11/2012,2842,1752,6104
04/11/2012,3706,1938,7615
05/11/2012,1995,1556,4615
06/11/2012,1980,1567,4604
07/11/2012,1676,1341,3917
08/11/2012,2185,1625,4974
09/11/2012,646,856,1848
10/11/2012,1275,1158,3113
11/11/2012,1062,1238,2865
12/11/2012,1765,1176,3884
13/11/2012,614,850,1794
14/11/2012,2410,1560,5261
15/11/2012,1648,1184,3712
16/11/2012,1961,1281,4284
17/11/2012,1525,1400,3745
18/11/2012,785,1081,2290
19/11/2012,275,442,870
20/11/2012,501,738,1510
21/11/2012,1287,1202,3178
22/11/2012,435,738,1408
23/11/2012,1155,1269,3041
24/11/2012,2115,1724,4963
25/11/2012,857,1241,2555
26/11/2012,2131,1559,4823
27/11/2012,2273,1721,5205
28/11/2012,1702,1447,4055
29/11/2012,2861,1801,6187
30/11/2012,3289,2129,7176
01/12/2012,1305,1285,3282
02/12/2012,1565,1481,3883
03/12/2012,1837,1610,4431
04/12/2012,2607,1829,5825
05/12/2012,2597,1751,5740
06/12/2012,3150,1805,6637
07/12/2012,2498,1757,5587
08/12/2012,2203,1794,5174
09/12/2012,723,870,1981
10/12/2012,2574,1747,5697
11/12/2012,3236,1838,6799
12/12/2012,3470,1936,7263
13/12/2012,3727,1830,7551
14/12/2012,558,865,1724
15/12/2012,1700,1340,3948
16/12/2012,1313,1393,3406
17/12/2012,1725,1621,4267
18/12/2012,4029,1873,8052
19/12/2012,334,517,1025
20/12/2012,403,536,1159
21/12/2012,530,677,1500
22/12/2012,402,526,1147
23/12/2012,887,1049,2416
24/12/2012,1170,1256,3050
25/12/2012,406,948,1574
26/12/2012,1408,1255,3413
27/12/2012,2037,1452,4578
28/12/2012,262,421,830
29/12/2012,532,716,1531
30/12/2012,420,714,1357
31/12/2012,1131,1120,2859
01/01/2013,308,652,1125
02/01/2013,630,877,1843
03/01/2013,2322,1825,5385
04/01/2013,2563,1627,5556
05/01/2013,2011,1469,4552
06/01/2013,863,1106,2430
07/01/2013,1684,1295,3877
